Seq_ID	Assigned_cluster
CAZ10011_22	1
CAZ10012_18	2
CAZ10021_22	1
CAZ10031_22	3
CAZ10051_22	4
CAZ10061_22	5
CAZ10071_22	6
CAZ10081_22	1
CAZ10091_22	1
CAZ10111_22	7
CAZ10121_22	8
CAZ10131_22	9
CAZ10141_22	10
CCA10021_22	11
CCA10031_22	1
CCA10041_22	12
CCA10051_22	13
CCA10061_22	14
CCA10071_22	15
CCA10081_22	12
CCA10091_22	1
CCA10121_22	16
CCA10131_22	17
CCA10141_22	5
CCA10151_22	18
CCA10161_22	5
CCA10181_22	1
CCA10211_22	19
CCA10221_22	20
CCA10241_22	7
CCA10261_22	6
CCA10271_22	7
CCA10281_22	1
CCT10011_22	1
CCT10021_21	21
CCT10021_22	1
CCT10031_22	5
CCT10061_22	22
CCT10071_22	5
CCT10091_22	23
CCT10101_22	24
CCT10111_22	25
CCT10141_21	16
CFL10011_19	2
CFL10011_22	15
CFL10021_19	2
CFL10021_22	26
CFL10031_22	27
CFL10041_21	5
CFL10041_22	28
CFL10051_19	2
CFL10051_22	1
CFL10061_19	2
CFL10071_19	29
CFL10081_20	30
CFL10081_22	21
CFL10091_19	2
CFL10091_22	1
CFL10101_19	2
CFL10101_20	1
CFL10111_19	2
CFL10111_20	1
CFL10111_22	31
CFL10121_19	2
CFL10121_21	5
CFL10121_22	31
CFL10131_19	2
CFL10131_22	25
CFL10141_19	2
CFL10141_20	32
CFL10141_22	33
CFL10151_22	7
CFL10161_20	32
CFL10161_22	1
CFL10171_20	5
CFL10171_22	7
CFL10181_20	32
CFL10181_21	5
CFL10191_20	5
CFL10191_22	7
CFL10201_20	32
CFL10201_22	31
CFL10211_20	2
CFL10211_22	7
CFL10221_20	32
CFL10221_22	7
CFL10231_20	7
CFL10231_21	5
CFL10231_22	13
CFL10241_20	32
CFL10241_22	34
CFL10251_20	32
CFL10251_22	7
CFL10271_20	32
CFL10281_21	17
CFL10301_22	4
CFL10311_20	1
CFL10321_22	7
CFL10331_20	32
CFL10331_22	7
CFL10341_20	32
CFL10341_22	1
CFL10351_20	7
CFL10351_22	5
CFL10361_20	32
CFL10361_22	35
CFL10371_20	7
CFL10371_22	7
CFL10381_20	32
CFL10381_22	7
CFL10391_20	32
CFL10391_22	31
CFL10401_22	7
CFL10411_20	7
CFL10411_21	7
CFL10411_22	7
CFL10421_20	7
CFL10421_22	7
CFL10431_20	36
CFL10431_22	7
CFL10441_20	13
CFL10441_22	7
CFL10451_20	37
CFL10451_22	7
CFL10461_20	38
CFL10461_22	5
CFL10471_20	7
CFL10471_22	31
CFL10481_20	37
CFL10481_22	7
CFL10491_20	32
CFL10491_22	7
CFL10501_22	7
CFL10511_22	7
CFL10521_22	7
CFL10531_22	7
CFL10541_22	7
CFL10551_22	31
CFL10561_22	7
CFL10571_21	5
CFL10571_22	7
CFL10581_22	31
CFL10582_20	32
CFL10591_22	7
CFL10601_22	31
CFL10611_22	7
CFL10621_22	7
CFL10631_22	5
CFL10641_22	39
CFL10651_22	7
CFL10661_22	7
CFL10671_20	7
CFL10671_22	7
CFL10681_22	31
CFL10691_22	31
CFL10701_20	32
CFL10701_22	7
CFL10711_22	7
CFL10721_20	7
CFL10721_21	17
CFL10721_22	7
CFL10731_20	32
CFL10731_22	7
CFL10741_20	37
CFL10741_22	7
CFL10751_20	32
CFL10751_21	21
CFL10751_22	7
CFL10761_22	7
CFL10771_22	7
CFL10791_20	7
CFL10791_22	7
CFL10801_20	7
CFL10801_22	7
CFL10811_20	7
CFL10811_22	31
CFL10821_20	7
CFL10821_22	7
CFL10831_20	37
CFL10831_21	17
CFL10831_22	31
CFL10841_20	7
CFL10841_22	7
CFL10851_21	17
CFL10861_21	17
CFL10861_22	31
CFL10871_20	7
CFL10871_22	7
CFL10881_20	7
CFL10881_22	7
CFL10891_20	7
CFL10901_21	17
CFL10901_22	7
CFL10911_21	17
CFL10911_22	7
CFL10921_20	7
CFL10921_22	7
CFL10922_20	7
CFL10931_21	17
CFL10931_22	7
CFL10941_20	40
CFL10941_22	20
CFL10942_20	40
CFL10951_21	21
CFL10951_22	31
CFL10952_20	7
CFL10961_21	5
CFL10962_20	7
CFL10971_20	7
CFL10971_22	32
CFL10972_20	7
CFL10981_22	7
CFL10991_22	7
CFL11001_22	7
CFL11011_22	7
CFL11031_22	33
CFL11051_22	7
CFL11061_22	7
CFL11071_22	7
CFL11081_22	41
CFL11091_22	11
CFL11101_22	11
CFL11111_21	17
CFL11111_22	7
CFL11121_22	7
CFL11131_22	7
CFL11141_22	11
CFL11161_21	17
CFL11161_22	7
CFL11171_21	17
CFL11171_22	7
CFL11181_22	7
CFL11201_22	11
CFL11211_22	7
CFL11221_22	7
CFL11231_22	7
CFL11241_22	7
CFL11251_22	7
CFL11261_22	7
CFL11271_21	42
CFL11271_22	7
CFL11281_22	7
CFL11291_22	7
CFL11301_22	7
CFL11311_22	7
CFL11331_22	38
CFL11341_22	7
CFL11351_22	7
CFL11371_22	7
CFL11381_22	7
CFL11391_22	11
CFL11401_22	7
CFL11411_22	7
CFL11431_22	1
CFL11441_22	7
CFL11451_22	41
CFL11461_22	7
CFL11471_22	11
CFL11481_22	7
CFL11501_22	1
CFL11511_22	27
CFL11531_22	7
CFL11541_22	7
CFL11551_22	7
CFL11561_22	4
CFL11571_22	7
CFL11581_22	7
CFL11591_22	40
CFL11601_22	7
CFL11611_22	7
CFL11621_22	38
CFL11631_22	7
CFL11641_22	7
CFL11651_22	38
CFL11661_22	7
CFL11681_22	7
CFL11691_22	7
CFL11701_22	7
